# Race: Unknown
# Distance: 168 km
# D+: 9500 m
# D-: 9500 m
# Date: 2025-05-16
# URL: https://live.utmb.world/uts/2025
bib,name,country,age,sex,category,club,utmb_profile_url,utmb_index,rank_scratch,rank_sex,rank_category,race_time,race_time_seconds,is_finisher,status,utmb_score
7,Ethan PETERS,CA,27,H,20-34M,Norda Trail Team,https://utmb.world/runner/3453763.ethan.peters,807.0,1.0,1.0,1.0,23:59:20,86360,True,f,831.0
4,Florian GRASEL,AT,44,H,40-44M,BOA Trail Team,https://utmb.world/runner/171539.florian.grasel,826.0,2.0,2.0,1.0,25:43:20,92600,True,f,775.0
2,Tom JOLY,GB,34,H,20-34M,Kailas Fuga,https://utmb.world/runner/1524473.tom.joly,857.0,3.0,3.0,2.0,27:21:40,98500,True,f,729.0
22,Alexander HAMLET,GB,33,H,20-34M,,https://utmb.world/runner/4182477.alexander.hamlet,703.0,4.0,4.0,3.0,27:30:43,99043,True,f,725.0
14,Caspian JAMES,GB,34,H,20-34M,,https://utmb.world/runner/4633912.caspian.james,741.0,5.0,5.0,4.0,27:52:46,100366,True,f,715.0
6,Paulina KRAWCZAK,PL,40,F,40-44W,ALTRA TEAM/ATTIQ TEAM/BIEGUSIEM.PL,https://utmb.world/runner/1365935.paulina.krawczak,708.0,6.0,1.0,1.0,28:13:11,101591,True,f,707.0
23,Dave WALKER BLAIR,GB,36,H,35-39M,,https://utmb.world/runner/4278696.dave.walkerblair,685.0,7.0,6.0,1.0,28:21:39,102099,True,f,703.0
21,Marc Antoine BROCHARD,FR,36,H,35-39M,,https://utmb.world/runner/3222463.marcantoine.brochard,690.0,8.0,7.0,2.0,28:29:10,102550,True,f,700.0
46,Natalie TAYLOR,GB,41,F,40-44W,Team Endurancelife,https://utmb.world/runner/210823.natalie.taylor,663.0,9.0,2.0,2.0,29:10:43,105043,True,f,683.0
20,Samuel SKINNER,GB,36,H,35-39M,George & Falcon Trail Runners/Harrier PRO Trail team,https://utmb.world/runner/2515353.samuel.skinner,687.0,10.0,8.0,3.0,29:28:10,106090,True,f,677.0
5,Mike MCMONAGLE,US,35,H,35-39M,Cat Nation,https://utmb.world/runner/1680823.mike.mcmonagle,800.0,11.0,9.0,4.0,29:44:58,107098,True,f,670.0
47,Tom WOOLLEY,GB,43,H,40-44M,,https://utmb.world/runner/4717036.tom.woolley,645.0,12.0,10.0,2.0,29:59:06,107946,True,f,665.0
50,Marc WARD,GB,43,H,40-44M,Royal Sutton Coldfield Athletics Club,https://utmb.world/runner/4880227.marc.ward,635.0,13.0,11.0,3.0,30:28:05,109685,True,f,655.0
27,Orran SMITH,GB,46,H,45-49M,estr.im,https://utmb.world/runner/2412621.orran.smith,662.0,14.0,12.0,1.0,30:38:58,110338,True,f,651.0
248,Ryan BANKS,,30,H,20-34M,,https://utmb.world/runner/5176375.ryan.banks,630.0,15.0,13.0,5.0,30:40:47,110447,True,f,650.0
19,Bjarte WETTELAND,NO,37,H,35-39M,Dale fjelløpere,https://utmb.world/runner/4016022.bjarte.wetteland,698.0,16.0,14.0,5.0,31:31:49,113509,True,f,632.0
28,Howard DRACUP,GB,41,H,40-44M,Montane/Scarpa UK,https://utmb.world/runner/1327757.howard.dracup,656.0,17.0,15.0,4.0,32:12:04,115924,True,f,619.0
54,Beat KARRER,CH,46,H,45-49M,,https://utmb.world/runner/3582637.beat.karrer,618.0,18.0,16.0,2.0,32:18:06,116286,True,f,617.0
44,Chris REASON,GB,47,H,45-49M,Gade Valley Harriers,https://utmb.world/runner/5224373.chris.reason,623.0,18.0,16.0,2.0,32:18:06,116286,True,f,617.0
57,Grant LITTLE,GB,43,H,40-44M,Gog triathlon,https://utmb.world/runner/4878747.grant.little,609.0,20.0,18.0,5.0,32:57:17,118637,True,f,605.0
9,Bill ÖSTER,SE,30,H,20-34M,Härlövs IF,https://utmb.world/runner/4301440.bill.oster,769.0,21.0,19.0,6.0,33:13:18,119598,True,f,600.0
96,Darren CRAWLEY,IE,48,H,45-49M,Louth Trail & Ultra Runners,https://utmb.world/runner/4785604.darren.crawley,581.0,22.0,20.0,4.0,33:15:49,119749,True,f,600.0
56,Simon CORNU,FR,34,H,20-34M,,https://utmb.world/runner/4526671.simon.cornu,608.0,23.0,21.0,7.0,33:44:49,121489,True,f,591.0
76,Sam WALSH,GB,38,H,35-39M,,https://utmb.world/runner/763091.sam.walsh,580.0,24.0,22.0,6.0,33:57:21,122241,True,f,587.0
35,Jack CHITTY,GB,37,H,35-39M,,https://utmb.world/runner/411665.jack.chitty,643.0,25.0,23.0,7.0,34:13:38,123218,True,f,583.0
94,Charlotte FISHER,GB,32,F,20-34W,,https://utmb.world/runner/5423176.charlotte.fisher,565.0,26.0,3.0,1.0,34:17:49,123469,True,f,581.0
72,Sergejs MALINS,GB,33,H,20-34M,,https://utmb.world/runner/2592153.sergejs.malins,584.0,27.0,24.0,8.0,34:37:58,124678,True,f,576.0
63,James ANDERSON,GB,37,H,35-39M,Southsea Fell Runners,https://utmb.world/runner/960629.james.anderson,594.0,28.0,25.0,8.0,34:38:06,124686,True,f,576.0
59,Alex MURPHY,GB,46,H,45-49M,Southsea Fell Runners,https://utmb.world/runner/3361095.alex.murphy,601.0,28.0,25.0,5.0,34:38:06,124686,True,f,576.0
34,Mark RABAIOTTI,GB,40,H,40-44M,Team NFT,https://utmb.world/runner/3274195.mark.rabaiotti,640.0,30.0,27.0,6.0,34:53:31,125611,True,f,572.0
77,Jodie GAULD,GB,33,F,20-34W,St Austell Running Club / Freedom Racing / Ellis Brigham,https://utmb.world/runner/1604797.jodie.gauld,581.0,31.0,4.0,2.0,35:28:46,127726,True,f,562.0
33,Kristofer COLLIER,GB,33,H,20-34M,,https://utmb.world/runner/1749107.kristofer.collier,644.0,32.0,28.0,9.0,36:25:41,131141,True,f,547.0
79,Rich BREAKWELL,GB,36,H,35-39M,Shrewsbury AC,https://utmb.world/runner/5224481.rich.breakwell,576.0,33.0,29.0,9.0,36:26:12,131172,True,f,547.0
87,Roméo JAFFRELOT,FR,25,H,20-34M,,https://utmb.world/runner/4337704.romeo.jaffrelot,563.0,34.0,30.0,10.0,36:31:33,131493,True,f,546.0
67,Richard O'CONNOR,GB,51,H,50-54M,Madmule Trail,https://utmb.world/runner/4471905.richard.oconnor,583.0,35.0,31.0,1.0,36:42:47,132167,True,f,543.0
61,Yam Prasad GURUNG,NP,34,H,20-34M,,https://utmb.world/runner/4684069.yamprasad.gurung,594.0,36.0,32.0,11.0,36:50:08,132608,True,f,541.0
103,Jay HADDLEY,GB,40,H,40-44M,Chester Tri Club,https://utmb.world/runner/4400136.jay.haddley,550.0,37.0,33.0,7.0,37:05:08,133508,True,f,538.0
40,Robert HENDERSON,GB,47,H,45-49M,Saltaire Striders,https://utmb.world/runner/52469.robert.henderson,628.0,38.0,34.0,6.0,37:06:28,133588,True,f,537.0
53,Richard LAZENBY,GB,41,H,40-44M,The Omm,https://utmb.world/runner/4117025.richard.lazenby,612.0,38.0,34.0,8.0,37:06:28,133588,True,f,537.0
223,Dafydd REES,GB,30,H,20-34M,,https://utmb.world/runner/3274553.dafydd.rees,517.0,40.0,36.0,12.0,37:26:15,134775,True,f,533.0
74,Christophe DAAMS,FR,41,H,40-44M,ULTRA Sporteam Pévèle,https://utmb.world/runner/491532.christophe.daams,583.0,41.0,37.0,9.0,37:36:57,135417,True,f,530.0
83,Mitchell HAMELIJNCK,NL,30,H,20-34M,,https://utmb.world/runner/3349955.mitchell.hamelijnck,571.0,42.0,38.0,13.0,37:41:38,135698,True,f,529.0
65,Alban PASSILLY,FR,47,H,45-49M,,https://utmb.world/runner/357010.alban.passilly,585.0,43.0,39.0,7.0,37:47:58,136078,True,f,528.0
255,John CHAMBERS,GB,36,H,35-39M,,https://utmb.world/runner/2969531.john.chambers,511.0,44.0,40.0,10.0,37:50:30,136230,True,f,527.0
108,Tom SAWYER,GB,48,H,45-49M,,https://utmb.world/runner/2105913.tom.sawyer,547.0,45.0,41.0,8.0,38:02:06,136926,True,f,524.0
