# Race: Unknown
# Distance: 129 km
# D+: 5100 m
# D-: 5100 m
# Date: 2023-05-12
# URL: https://live.utmb.world/valholl/2023
bib,name,country,age,sex,category,club,utmb_profile_url,utmb_index,rank_scratch,rank_sex,rank_category,race_time,race_time_seconds,is_finisher,status,utmb_score
1,Miguel HERAS,ES,50,H,45-49M,,https://utmb.world/runner/12281.miguel.heras,907.0,1.0,1.0,1.0,14:51:44,53504.8,True,f,
4,Cristofer CLEMENTE MORA,ES,40,H,35-39M,,https://utmb.world/runner/11754.cristofer.clementemora,861.0,2.0,2.0,1.0,15:11:06,54666.05,True,f,
5,Gonzalo CALISTO,EC,45,H,40-44M,,https://utmb.world/runner/5129836.gonzalo.calisto,836.0,3.0,3.0,1.0,15:37:23,56243.07,True,f,
2,Adrian MACDONALD,US,37,H,35-39M,,https://utmb.world/runner/3527137.adrian.macdonald,881.0,4.0,4.0,2.0,16:29:38,59378.01,True,f,
255,Remigio QUISPE,PE,42,H,40-44M,adidas terrex,https://utmb.world/runner/879725.remigio.huaman,841.0,5.0,5.0,2.0,16:38:50,59930.0,True,f,
10,Juan José CALISTO ALVAREZ,EC,41,H,35-39M,,https://utmb.world/runner/439644.juanjose.calistoalvarez,748.0,6.0,6.0,3.0,17:27:32,62852.62,True,f,
13,Federico MORALES,AR,33,H,20-34M,,https://utmb.world/runner/4584428.federico.morales,707.0,7.0,7.0,1.0,18:58:26,68306.3,True,f,
20,Fernando Esteban BOSIO,AR,35,H,20-34M,,https://utmb.world/runner/2547245.fernandoesteban.bosio,690.0,8.0,8.0,2.0,18:58:28,68308.13,True,f,
24,Matias VIOTTI,AR,39,H,35-39M,,https://utmb.world/runner/868849.matias.viotti,667.0,9.0,9.0,4.0,19:35:10,70510.41,True,f,
56,Gabriel VALDIVIESO,AR,36,H,20-34M,,https://utmb.world/runner/4584414.gabriel.valdivieso,667.0,10.0,10.0,3.0,19:35:25,70525.58,True,f,
15,Cristian HERRERA,AR,39,H,35-39M,,https://utmb.world/runner/562130.cristian.herrera,684.0,11.0,11.0,5.0,19:35:51,70551.71,True,f,
26,Mauricio BUDINI,AR,46,H,40-44M,,https://utmb.world/runner/2000769.mauricio.budini,654.0,12.0,12.0,3.0,20:00:10,72010.18,True,f,
17,Sebastian MACHUCA SALGADO,CL,37,H,35-39M,,https://utmb.world/runner/487409.sebastian.machucasalgado,681.0,13.0,13.0,6.0,20:15:37,72937.98,True,f,
9,Gustavo REYES,AR,47,H,45-49M,,https://utmb.world/runner/11751.gustavo.reyes,721.0,14.0,14.0,2.0,20:46:22,74782.32,True,f,
34,Gaston BRITO,AR,45,H,40-44M,,https://utmb.world/runner/3908399.gaston.brito,637.0,15.0,15.0,4.0,20:51:32,75092.51,True,f,
27,Mariano Nicolas LENCINAS,AR,39,H,35-39M,,https://utmb.world/runner/1968279.marianonicolas.lencinas,642.0,16.0,16.0,7.0,20:59:36,75576.24,True,f,
91,Emanuel GONZALEZ,AR,42,H,40-44M,,https://utmb.world/runner/3615627.emanuel.gonzalez,613.0,17.0,17.0,5.0,21:18:18,76698.69,True,f,
6,Veronica RAMIREZ,AR,49,F,45-49W,,https://utmb.world/runner/771999.veronica.ramirez,671.0,18.0,1.0,1.0,21:20:08,76808.37,True,f,
70,Luis MONTEZA SÁNCHEZ,PE,39,H,35-39M,,https://utmb.world/runner/4166989.luis.montezasanchez,611.0,19.0,18.0,8.0,21:23:05,76985.0,True,f,
23,Jorge Francisco LOPEZ,AR,34,H,20-34M,,https://utmb.world/runner/1952681.jorgefrancisco.lopez,647.0,20.0,19.0,4.0,21:26:16,77176.08,True,f,
14,Gonzalo INZAURRALDE,UY,30,H,20-34M,,https://utmb.world/runner/4584412.gonzalo.inzaurralde,686.0,21.0,20.0,5.0,21:34:23,77663.05,True,f,
58,Cristian Gabriel BATISTELLA,AR,37,H,35-39M,,https://utmb.world/runner/669733.cristiangabriel.batistella,614.0,22.0,21.0,9.0,21:47:23,78443.98,True,f,
8,Mariela VIGLIOCCO,AR,46,F,40-44W,,https://utmb.world/runner/889391.mariela.vigliocco,654.0,23.0,2.0,1.0,21:47:57,78477.55,True,f,
57,Nelson ANDREATTA,AR,37,H,35-39M,,https://utmb.world/runner/2245717.nelson.andreatta,633.0,24.0,22.0,10.0,21:58:10,79090.34,True,f,
105,Juan Carlos DAZA,AR,44,H,40-44M,,https://utmb.world/runner/4120308.juancarlos.daza,607.0,25.0,23.0,6.0,22:10:42,79842.26,True,f,
96,Emiliano WILLATOWSKI,AR,42,H,40-44M,,https://utmb.world/runner/4287798.emiliano.willatowski,589.0,26.0,24.0,7.0,22:10:43,79843.13,True,f,
