# Race: Unknown
# Distance: 86 km
# D+: 3704 m
# D-: 3704 m
# Date: 2025-03-21
# URL: https://live.utmb.world/valholl/2025
bib,name,country,age,sex,category,club,utmb_profile_url,utmb_index,rank_scratch,rank_sex,rank_category,race_time,race_time_seconds,is_finisher,status,utmb_score
1003,Alejandro MAYOR,ES,32,H,20-34M,,https://utmb.world/runner/957599.alejandro.mayor,826.0,1.0,1.0,1.0,08:59:57,32397.107000000004,True,f,800.0
1001,Gediminas GRINIUS,LT,46,H,45-49M,TEAM VIBRAM,https://utmb.world/runner/136586.gediminas.grinius,847.0,2.0,2.0,1.0,09:16:36,33396.498999999996,True,f,776.0
1006,Fernando Ruben MENDIETA,AR,30,H,20-34M,Mendietatrailtraining,https://utmb.world/runner/3872359.fernandoruben.mendieta,771.0,4.0,4.0,2.0,09:41:37,34897.16,True,f,742.0
1018,Cristian D'ALFONSO,AR,35,H,35-39M,SALPA Sports,https://utmb.world/runner/4504350.cristian.alfonso,660.0,5.0,5.0,1.0,09:51:55,35515.939,True,f,730.0
1016,Rodrigo SANCHEZ,AR,27,H,20-34M,,https://utmb.world/runner/2439929.rodrigoemanuel.sanchez,665.0,6.0,6.0,3.0,09:57:16,35836.701,True,f,723.0
1017,Carlos Daniel MORALES,AR,36,H,35-39M,Tafi atletismo,https://utmb.world/runner/4584474.carlosdaniel.morales,665.0,7.0,7.0,2.0,09:57:21,35841.83,True,f,723.0
1015,Juliano ARAUJO,BR,37,H,35-39M,Caiçara em Chamonix - Paraty Brazil by UTMB,https://utmb.world/runner/4923701.juliano.araujo,686.0,9.0,9.0,4.0,10:03:07,36187.672,True,f,716.0
1260,Santiago HALUSCH,AR,30,H,20-34M,Nahuel luengo RT,https://utmb.world/runner/6335582.santiago.halusch,714.0,10.0,10.0,4.0,10:06:10,36370.314,True,f,712.0
1048,Joe THOMPSON,US,25,H,20-34M,,https://utmb.world/runner/5538239.joe.thompson,558.0,11.0,11.0,5.0,10:13:32,36812.513999999996,True,f,704.0
1009,Anabel OVIEDO ZELARAYÁN,AR,40,F,40-44W,EA ENTRENAMIENTO,https://utmb.world/runner/4523972.anabel.oviedozelarayan,649.0,12.0,1.0,1.0,10:14:04,36844.524,True,f,703.0
