# Race: Unknown
# Distance: 130.7 km
# D+: 5721 m
# D-: 5721 m
# Date: 2025-03-21
# URL: https://live.utmb.world/valholl/2025
bib,name,country,age,sex,category,club,utmb_profile_url,utmb_index,rank_scratch,rank_sex,rank_category,race_time,race_time_seconds,is_finisher,status,utmb_score
1,Beñat MARMISSOLLE,FR,44,H,40-44M,La Sportiva,https://utmb.world/runner/584241.benat.marmissolle,866.0,1.0,1.0,1.0,13:46:46,49606.361,True,f,897.0
3,Aleksei TOLSTENKO,AN,41,H,40-44M,Trail Running School,https://utmb.world/runner/498817.aleksei.tolstenko,854.0,2.0,2.0,2.0,14:21:12,51672.501,True,f,861.0
13,Pablo NADALEZ,AR,39,H,35-39M,NADALEZ TEAM,https://utmb.world/runner/1929925.pablo.nadalez,770.0,3.0,3.0,1.0,14:38:29,52709.182,True,f,844.0
8,Sergio Gustavo PEREYRA,AR,31,H,20-34M,,https://utmb.world/runner/439612.sergiogustavo.pereyra,859.0,4.0,4.0,1.0,15:25:38,55538.849,True,f,801.0
32,Franco ISORNA,AR,37,H,35-39M,Naturaleza Activa,https://utmb.world/runner/4959600.franco.isorna,620.0,5.0,5.0,2.0,16:33:55,59635.273,True,f,746.0
11,Franco Hernan ORO,AR,40,H,40-44M,,https://utmb.world/runner/1154335.francohernan.oro,777.0,6.0,6.0,3.0,16:58:55,61135.937999999995,True,f,728.0
190,Luis Alberto LOBOS MASSIFF,CL,34,H,20-34M,Hoka Chile,https://utmb.world/runner/4935706.luisalberto.lobosmassiff,675.0,7.0,7.0,2.0,17:37:37,63457.944,True,f,701.0
191,Norman Sebastian ARAVENA,AR,49,H,45-49M,No,https://utmb.world/runner/1784129.normansebastian.aravena,627.0,8.0,8.0,1.0,18:30:53,66653.24900000001,True,f,668.0
64,Paul CHATRY,FR,29,H,20-34M,,https://utmb.world/runner/4857064.paul.chatry,604.0,9.0,9.0,3.0,18:41:52,67312.68,True,f,661.0
14,Wataru IINO,JP,46,H,45-49M,Luc+/Sakaiya,https://utmb.world/runner/45710.wataru.iino,750.0,10.0,10.0,2.0,18:53:15,67995.032,True,f,654.0
33,Thiago ORGELIO,BR,40,H,40-44M,Life,https://utmb.world/runner/1052369.thiago.orgelio,619.0,11.0,11.0,4.0,19:00:54,68454.005,True,f,650.0
175,Martin Eduardo CICHERO,AR,37,H,35-39M,Ushuaia-ProBike,https://utmb.world/runner/3001667.martineduardo.cichero,,12.0,12.0,3.0,19:24:52,69892.239,True,f,637.0
31,Facundo MARTÍNEZ,AR,38,H,35-39M,,https://utmb.world/runner/2245725.facundo.martinez,626.0,13.0,13.0,4.0,19:25:46,69946.329,True,f,636.0
29,Arnoldo SCHIBAR SCHWENKE,CL,39,H,35-39M,trainninglab,https://utmb.world/runner/6297296.arnoldo.schibarschwenke,630.0,14.0,14.0,5.0,19:28:18,70098.73,True,f,635.0
23,Eduardo ILVAY,EC,44,H,40-44M,Tastytos,https://utmb.world/runner/2646083.eduardo.ilvay,663.0,15.0,15.0,5.0,19:28:19,70099.02799999999,True,f,635.0
74,Sergio FLAMENCO,AR,35,H,35-39M,BG 360 - By Pauluzak,https://utmb.world/runner/4296198.sergio.flamenco,531.0,16.0,16.0,6.0,19:42:11,70931.082,True,f,627.0
18,Mariana HAMMOND,AR,39,F,35-39W,BROOKS - CIVA,https://utmb.world/runner/734928.mariana.hammond,628.0,17.0,1.0,1.0,19:54:14,71654.141,True,f,621.0
123,Antoine BARROSO,FR,32,H,20-34M,,https://utmb.world/runner/5818435.antoine.barroso,467.0,18.0,17.0,4.0,20:03:16,72196.243,True,f,616.0
38,Pavel SHMIDT,AN,38,H,35-39M,,https://utmb.world/runner/5210598.pavel.shmidt,598.0,19.0,18.0,7.0,20:08:24,72504.073,True,f,614.0
58,Daniel EBENEGGER,AR,45,H,45-49M,,https://utmb.world/runner/4607442.daniel.ebenegger,568.0,20.0,19.0,3.0,20:11:42,72702.463,True,f,612.0
26,Francisco Javier REYES FERNANDEZ,ES,53,H,50-54M,Club Maraton Lucena,https://utmb.world/runner/562446.franciscojavier.reyesfernandez,636.0,21.0,20.0,1.0,21:21:17,76877.543,True,f,579.0
46,Barbara GASSMANN,AR,39,F,35-39W,purple,https://utmb.world/runner/3001969.barbara.gassmann,520.0,22.0,2.0,2.0,21:34:48,77688.023,True,f,573.0
10,Leticia DA SILVA SALTORI,BR,38,F,35-39W,MSBR- Equipiazza,https://utmb.world/runner/655284.leticia.dasilvasaltori,690.0,23.0,3.0,3.0,21:41:21,78081.655,True,f,570.0
24,Rodrigo MAX FOIS,AR,45,H,45-49M,ACADEMIA DEPORTIVA SERGIO ACUÑA,https://utmb.world/runner/4503996.rodrigo.maxfois,662.0,24.0,21.0,4.0,21:44:53,78293.455,True,f,568.0
71,Joaquin Alejandro TORRES,AR,58,H,55-59M,Estudio Löffler,https://utmb.world/runner/633938.joaquinalejandro.torres,536.0,25.0,22.0,1.0,21:46:42,78402.56599999999,True,f,568.0
72,Dorian CADART,FR,35,H,35-39M,,https://utmb.world/runner/4804648.dorian.cadart,534.0,26.0,23.0,8.0,21:49:18,78558.265,True,f,566.0
51,Martin PERALTA,AR,46,H,45-49M,Never Stop Running Team,https://utmb.world/runner/201014.martin.peralta,575.0,27.0,24.0,5.0,21:53:41,78821.787,True,f,565.0
41,Nicolas TREPIN,AR,41,H,40-44M,Never Stop Running Team,https://utmb.world/runner/490927.nicolas.trepin,588.0,28.0,25.0,6.0,21:53:53,78833.09599999999,True,f,564.0
57,Tom NICHOLSON,ZA,32,H,20-34M,Patagonia,https://utmb.world/runner/4134438.tom.nicholson,564.0,29.0,26.0,5.0,22:16:48,80208.061,True,f,555.0
90,Sebastian Jorge LEINENN,AR,46,H,45-49M,Federico nimer,https://utmb.world/runner/1350169.sebastianjorge.leinenn,511.0,30.0,27.0,6.0,23:01:53,82913.227,True,f,537.0
125,Juan Esteban CAYO ORELLANA,AR,42,H,40-44M,,https://utmb.world/runner/4969379.juanesteban.cayoorellana,490.0,31.0,28.0,7.0,23:01:56,82916.468,True,f,537.0
34,Jacqueline CARDENAS,CL,58,F,55-59W,SOYBLU,https://utmb.world/runner/756604.jacqueline.cardenas,539.0,32.0,4.0,1.0,23:02:56,82976.526,True,f,536.0
42,Edgardo Javier GODOY,AR,54,H,50-54M,Lobytrail,https://utmb.world/runner/3001917.edgardojavier.godoy,587.0,33.0,29.0,2.0,23:05:11,83111.228,True,f,535.0
180,Victor Hugo MARCHISIO,AR,38,H,35-39M,Maratrail,https://utmb.world/runner/668483.victorhugo.marchisio,610.0,33.0,29.0,9.0,23:05:11,83111.256,True,f,535.0
173,Luis CASAS,AR,41,H,40-44M,,https://utmb.world/runner/2245809.luis.casas,529.0,35.0,31.0,8.0,23:08:37,83317.957,True,f,534.0
39,Nicolas AQUISTAPACE,AR,54,H,50-54M,Osky Team,https://utmb.world/runner/892935.nicolas.aquistapace,590.0,36.0,32.0,3.0,23:17:24,83844.546,True,f,531.0
188,Monica Liliana SOSA,AR,45,F,45-49W,,https://utmb.world/runner/7016983.monicaliliana.sosa,,37.0,5.0,1.0,23:31:34,84694.05900000001,True,f,525.0
52,Nery David QUIROGA,AR,36,H,35-39M,aetlhos running,https://utmb.world/runner/4950481.nerydavid.quiroga,575.0,38.0,33.0,10.0,23:34:52,84892.74900000001,True,f,524.0
43,Jorge Alejandro GARRIDO,AR,56,H,55-59M,,https://utmb.world/runner/2439971.jorgealejandro.garrido,582.0,39.0,34.0,2.0,23:34:58,84898.66,True,f,524.0
22,Tetiana MALTSEVA,UA,36,F,35-39W,LK Performance,https://utmb.world/runner/3787973.tetiana.maltseva,614.0,40.0,6.0,4.0,23:47:22,85642.87199999999,True,f,520.0
