# Race: Unknown
# Distance: 13.4 km
# D+: 684 m
# D-: 684 m
# Date: 2025-03-21
# URL: https://live.utmb.world/valholl/2025
bib,name,country,age,sex,category,club,utmb_profile_url,utmb_index,rank_scratch,rank_sex,rank_category,race_time,race_time_seconds,is_finisher,status,utmb_score
5186,Maximiliano Esteban SAUCEDO,AR,33,H,20-34M,originariotrailrunning,https://utmb.world/runner/6763725.maximilianoesteban.saucedo,,1.0,1.0,1.0,01:23:21,5001.079000000001,True,f,559.0
5083,Lisandro FORESI,AR,40,H,40-44M,CRT,https://utmb.world/runner/6901007.lisandro.foresi,,2.0,2.0,1.0,01:28:51,5331.38,True,f,524.0
5137,Kevin MARTINES,AR,26,H,20-34M,Purple Run Ban,https://utmb.world/runner/6860053.kevin.martines,,4.0,4.0,2.0,01:30:17,5417.66,True,f,516.0
5060,Cristian CISTERNA,AR,29,H,20-34M,Nery runners,https://utmb.world/runner/6928457.cristian.cisterna,,5.0,5.0,3.0,01:30:20,5420.722,True,f,516.0
3651,Nicolas BADARACCO,AR,31,H,20-34M,,,,6.0,6.0,4.0,01:30:42,5442.682,True,f,
5178,Tobias ROMERO,AR,20,H,20-34M,,https://utmb.world/runner/6938885.tobias.romero,,8.0,8.0,5.0,01:34:13,5653.762,True,f,494.0
5111,Gustavo Ezequiel LAREU,AR,37,H,35-39M,,https://utmb.world/runner/6725601.gustavoezequiel.lareu,,11.0,11.0,4.0,01:39:12,5952.982,True,f,469.0
5002,Juan Lucio Ramon DE LA VEGA,AR,50,H,50-54M,Alto Rendimiento Club,https://utmb.world/runner/5572303.juanlucioramon.delavega,410.0,12.0,12.0,2.0,01:39:56,5996.512,True,f,466.0
5150,Luciano NICOLAS GONZALO,AR,28,H,20-34M,,https://utmb.world/runner/5887449.luciano.nicolasgonzalo,,15.0,13.0,6.0,01:47:55,6475.071,True,f,432.0
5208,Javier Andres VAZQUEZ,AR,50,H,50-54M,OSHOVIA ATLETISMO,https://utmb.world/runner/6964287.javierandres.vazquez,,16.0,14.0,3.0,01:48:06,6486.383000000001,True,f,431.0
5032,Letícia BACCAGLINI,BR,26,F,20-34W,-,https://utmb.world/runner/6892443.leticia.baccaglini,,17.0,3.0,1.0,01:48:08,6488.21,True,f,431.0
5175,Gianina RIOS,AR,33,F,20-34W,Ferteam,https://utmb.world/runner/6901013.gianina.rios,,20.0,4.0,2.0,01:49:09,6549.561,True,f,427.0
5118,Emanuel LÓPEZ MÉNDEZ,AR,29,H,20-34M,,https://utmb.world/runner/6949503.emanuel.lopezmendez,,22.0,18.0,7.0,01:50:46,6646.82,True,f,420.0
5159,Valentin PEPA,AR,31,H,20-34M,Individual,https://utmb.world/runner/6465683.valentin.pepa,,26.0,21.0,8.0,01:51:18,6678.14,True,f,418.0
5154,Tony OJEDA,AR,49,H,45-49M,Los correcaminos,https://utmb.world/runner/6979811.tony.ojeda,,28.0,22.0,3.0,01:53:13,6793.2519999999995,True,f,411.0
3650,Camila GOMEZ OLIVERA,AR,26,F,20-34W,MAURO ROMERO,https://utmb.world/runner/6048377.camila.gomezolivera,430.0,29.0,7.0,4.0,01:53:29,6809.691999999999,True,f,410.0
5088,Ruth Elisabeth GALICHINI,AR,36,F,35-39W,EcusCars,https://utmb.world/runner/6496803.ruthelisabeth.galichini,,30.0,8.0,1.0,01:54:11,6851.482,True,f,408.0
5205,Erika VALDERRAMA CORNEJO,AR,37,F,35-39W,Originarios Trail running,https://utmb.world/runner/6926351.erika.valderramacornejo,,31.0,9.0,2.0,01:54:21,6861.141,True,f,407.0
3646,Macarena VALVERDE ,AR,39,F,35-39W,,,,32.0,10.0,3.0,01:54:35,6875.272,True,f,
5023,Alejandro Roberto ALTAMIRANO,AR,51,H,50-54M,,https://utmb.world/runner/6796267.alejandroroberto.altamirano,,33.0,23.0,4.0,01:54:38,6878.393,True,f,406.0
5114,Jorge Eduardo LEIVA VARELA,AR,42,H,40-44M,,https://utmb.world/runner/6599035.jorgeeduardo.leivavarela,,34.0,24.0,2.0,01:55:00,6900.263000000001,True,f,405.0
5025,Victor AMARILLA,AR,50,H,50-54M,Originarios Trail Running,https://utmb.world/runner/6931521.victor.amarilla,,36.0,25.0,5.0,01:56:57,7017.714,True,f,398.0
5124,Gaspar LUDUEÑA,AR,31,H,20-34M,Bomberos Voluntarios Ushuaia,https://utmb.world/runner/6782139.gaspar.luduena,,37.0,26.0,9.0,01:57:16,7036.133000000001,True,f,397.0
5054,Maria Sol CARDINALE,AR,42,F,40-44W,FP Team,https://utmb.world/runner/6728613.mariasol.cardinale,,39.0,12.0,2.0,02:00:19,7219.0,True,f,387.0
5125,Francisco LUJAN,AR,16,H,16-17M,,https://utmb.world/runner/6978333.francisco.lujan,,42.0,28.0,1.0,02:01:51,7311.922,True,f,382.0
5169,Camila Dolores PONCE FERREYRA,AR,25,F,20-34W,Mauro Romero team,https://utmb.world/runner/5969037.camiladolores.ponceferreyra,387.0,43.0,15.0,5.0,02:02:48,7368.264,True,f,379.0
5096,Romina GOMEZ,AR,42,F,40-44W,,https://utmb.world/runner/6485737.romina.gomez,,45.0,16.0,4.0,02:04:02,7442.781999999999,True,f,375.0
5069,Fernando DURAN,AR,43,H,40-44M,Rosario Central,https://utmb.world/runner/6860921.fernando.duran,,46.0,30.0,3.0,02:04:11,7451.273,True,f,375.0
5203,Gislene TUSANI,BR,37,F,35-39W,,https://utmb.world/runner/6580507.gislene.tusani,,47.0,17.0,5.0,02:05:20,7520.994000000001,True,f,372.0
5091,Horacio GAUTER,AR,53,H,50-54M,Originarios Trail Running,https://utmb.world/runner/6914249.horacio.gauter,,48.0,31.0,6.0,02:05:33,7533.2919999999995,True,f,371.0
5071,Lisandro ENCISO PIAZZA,AR,36,H,35-39M,,https://utmb.world/runner/6915337.lisandro.encisopiazza,,49.0,32.0,7.0,02:06:44,7604.544,True,f,367.0
5170,Patrícia PRADO,BR,46,F,45-49W,Tati Somensi,https://utmb.world/runner/6597331.patricia.prado,,50.0,18.0,3.0,02:07:34,7654.044,True,f,365.0
5057,Ines CASTRO,AR,30,F,20-34W,maxi Lopez running team,https://utmb.world/runner/4506418.ines.castro,413.0,51.0,19.0,6.0,02:08:27,7707.352,True,f,363.0
5049,Cristian CAMPOS MORALES,CL,52,H,50-54M,Ninguno,https://utmb.world/runner/6465681.cristian.camposmorales,,53.0,34.0,7.0,02:09:11,7751.363,True,f,360.0
5151,Matias Nahuel OBISPO,AR,38,H,35-39M,,https://utmb.world/runner/6465697.matiasnahuel.obispo,,54.0,35.0,8.0,02:09:52,7792.941999999999,True,f,359.0
5015,Estanislao LOVIZIO SOSA,AR,14,H,14-15M,Lovi-to,https://utmb.world/runner/6975903.estanislao.loviziososa,,55.0,36.0,1.0,02:10:20,7820.781999999999,True,f,357.0
5132,Micaela MALDONADO,AR,30,F,20-34W,,https://utmb.world/runner/6979735.micaela.maldonado,,56.0,20.0,7.0,02:11:13,7873.374,True,f,355.0
5086,Juana Ester GALARZA,AR,36,F,35-39W,corredores  del viento,https://utmb.world/runner/6955315.juanaester.galarza,,56.0,20.0,6.0,02:11:13,7873.134,True,f,355.0
5067,Juan Antonio DAMIANI,UY,38,H,35-39M,,https://utmb.world/runner/6545253.juanantonio.damiani,,58.0,37.0,9.0,02:11:38,7898.871999999999,True,f,354.0
5024,Graciana ALVAREZ,UY,36,F,35-39W,,https://utmb.world/runner/6545229.graciana.alvarez,,59.0,22.0,7.0,02:12:19,7939.043000000001,True,f,352.0
5010,Pablo AGUERO,AR,41,H,40-44M,Las Heras corre,https://utmb.world/runner/4344894.pablo.aguero,303.0,60.0,38.0,5.0,02:14:03,8043.143,True,f,347.0
3649,Araceli CISNEROS,AR,31,F,20-34W,,https://utmb.world/runner/7008171.araceli.cisneros,,61.0,23.0,8.0,02:14:38,8078.125,True,f,346.0
5180,Gerson SABINO,BR,57,H,55-59M,RM ASSESSORIA ESPORTIVA,https://utmb.world/runner/6726335.gerson.sabino,,62.0,39.0,1.0,02:15:05,8105.934,True,f,345.0
5113,Daniele LEITE,BR,31,F,20-34W,TrioRuning,https://utmb.world/runner/6289572.daniele.leite,,64.0,24.0,9.0,02:15:16,8116.555,True,f,344.0
