# Race: Unknown
# Tenant: kullamannen
# Year: 2025
# Race URI: 10675.kullamannenbyutmbultra100miles.2025
# Total Finishers: 650
# Scraped: 2025-12-04T15:51:57.294562
rank_scratch,name,race_time,race_time_seconds,country,country_code,age_group,sex,utmb_index,utmb_score,runner_uri,utmb_profile_url
1.0,Christian MALMSTROM,16:18:22,58702.0,Sweden,SE,45-49,H,,,1243141.christian.malmstrom,https://utmb.world/runner/1243141.christian.malmstrom
2.0,Alexandre BOUCHEIX,16:34:44,59684.0,France,FR,20-34,H,,,758585.alexandre.boucheix,https://utmb.world/runner/758585.alexandre.boucheix
3.0,Jakob ÅBERG (Jakob ABERG),17:03:29,61409.0,Sweden,SE,20-34,H,,,1843273.jakob.aberg,https://utmb.world/runner/1843273.jakob.aberg
4.0,Hanna AHO,17:59:21,64761.0,Sweden,SE,20-34,F,,,3976348.hanna.aho,https://utmb.world/runner/3976348.hanna.aho
5.0,Anne-Sofie POLLESTAD,18:32:13,66733.0,Norway,NO,40-44,F,,,4131603.annesofie.pollestad,https://utmb.world/runner/4131603.annesofie.pollestad
6.0,Eevi BENGS,18:32:41,66761.0,Finland,FI,35-39,F,,,4583132.eevi.bengs,https://utmb.world/runner/4583132.eevi.bengs
7.0,Aurimas BRAZAUSKAS,18:58:55,68335.0,Lithuania,LT,45-49,H,,,4270487.aurimas.brazauskas,https://utmb.world/runner/4270487.aurimas.brazauskas
8.0,Joakim JOHANSSON,19:27:34,70054.0,Sweden,SE,35-39,H,,,508271.joakim.johansson,https://utmb.world/runner/508271.joakim.johansson
9.0,Claes CHRISTENSSON,19:41:36,70896.0,Sweden,SE,35-39,H,,,665600.claes.christensson,https://utmb.world/runner/665600.claes.christensson
10.0,Oscar ASKERLUND,20:01:53,72113.0,Sweden,SE,40-44,H,,,691416.oscar.askerlund,https://utmb.world/runner/691416.oscar.askerlund
11.0,Elin ÖHMAN (Elin OHMAN),20:03:19,72199.0,Sweden,SE,20-34,F,,,1996521.elin.ohman,https://utmb.world/runner/1996521.elin.ohman
12.0,Eric HOLMSTRÖM,20:04:41,72281.0,Sweden,SE,40-44,H,,,4445146.eric.holmstrom,https://utmb.world/runner/4445146.eric.holmstrom
13.0,Tomas NORDLOF,20:19:34,73174.0,Sweden,SE,40-44,H,,,936155.tomas.nordlof,https://utmb.world/runner/936155.tomas.nordlof
14.0,Erik ENG,20:19:44,73184.0,Sweden,SE,45-49,H,,,438604.erik.eng,https://utmb.world/runner/438604.erik.eng
